Num,Model,method Argument Value,Type,Packages,Tuning Parameters
1,Boosted Classification Trees,ada,Classification,"ada, plyr","iter, maxdepth, nu"
2,Bagged AdaBoost,AdaBag,Classification,"adabag, plyr","mfinal, maxdepth"
3,AdaBoost.M1,AdaBoost.M1,Classification,"adabag, plyr","mfinal, maxdepth, coeflearn"
4,Adaptive Mixture Discriminant Analysis,amdai,Classification,adaptDA,model
5,Adaptive-Network-Based Fuzzy Inference System,ANFIS,Regression,frbs,"num.labels, max.iter"
6,Model Averaged Neural Network,avNNet,Dual Use,nnet,"size, decay, bag"
7,Naive Bayes Classifier with Attribute Weighting,awnb,Classification,bnclassify,smooth
8,Tree Augmented Naive Bayes Classifier with Attribute Weighting,awtan,Classification,bnclassify,"score, smooth"
9,Bagged Model,bag,Dual Use,caret,vars
10,Bagged MARS,bagEarth,Dual Use,earth,"nprune, degree"
11,Bagged MARS using gCV Pruning,bagEarthGCV,Dual Use,earth,degree
12,Bagged Flexible Discriminant Analysis,bagFDA,Classification,"earth, mda","degree, nprune"
13,Bagged FDA using gCV Pruning,bagFDAGCV,Classification,earth,degree
14,Bayesian Additive Regression Trees,bartMachine,Dual Use,bartMachine,"num_trees, k, alpha, beta, nu"
15,Bayesian Generalized Linear Model,bayesglm,Dual Use,arm,None
16,Self-Organizing Map,bdk,Dual Use,kohonen,"xdim, ydim, xweight, topo"
17,Binary Discriminant Analysis,binda,Classification,binda,lambda.freqs
18,Boosted Tree,blackboost,Dual Use,"party, mboost, plyr","mstop, maxdepth"
19,Random Forest with Additional Feature Selection,Boruta,Dual Use,"Boruta, randomForest",mtry
20,Bayesian Regularized Neural Networks,brnn,Regression,brnn,neurons
21,Boosted Linear Model,BstLm,Dual Use,"bst, plyr","mstop, nu"
22,Boosted Smoothing Spline,bstSm,Dual Use,"bst, plyr","mstop, nu"
23,Boosted Tree,bstTree,Dual Use,"bst, plyr","mstop, maxdepth, nu"
24,C5.0,C5.0,Classification,"C50, plyr","trials, model, winnow"
25,Cost-Sensitive C5.0,C5.0Cost,Classification,"C50, plyr","trials, model, winnow, cost"
26,Single C5.0 Ruleset,C5.0Rules,Classification,C50,None
27,Single C5.0 Tree,C5.0Tree,Classification,C50,None
28,Conditional Inference Random Forest,cforest,Dual Use,party,mtry
29,CHi-squared Automated Interaction Detection,chaid,Classification,CHAID,"alpha2, alpha3, alpha4"
30,SIMCA,CSimca,Classification,rrcovHD,None
31,Conditional Inference Tree,ctree,Dual Use,party,mincriterion
